product_id,product_title
B00NB40CLO,Nicole Lee Water Resistant 16.5 Inch Laptop Backpack Series 2
B00NJ6JWU6,"Samsonite Bartlett 20'" Spinner Luggage"
B00NND09TI,Oiwas Sports Backpack School Bag Casual Daypack
B00NUY1VWY,"Aibag Unisex Crossbody Bag Vintage Small Messenger Shoulder Bad Purse"
B00NVL2PDU,Maxi's Design Children's 3-D Rolling Carry-on Suitcase - Super Power F1 Blue
B00NVLW4JU,Leather Urban Bucket Cross-body Handbag
B00O14KDU8,"CafePress - I Sleep With Yorkies - Natural Canvas Tote Bag Cloth Shopping Bag"
B00O60X5YI,icci [Cute] Kids Backpacks Girls Boys Toddler [School] [Hiking] [Travel] Bag
B00O636X80,"Travellows Travel Passport Holder for Men & Women RFID Blocking Wallet"
B00O8G0TS0,"GUESS Women''s Chit Chat Logo-Print Smartphone Cross-Body Bag White"
B00OAABYWE,Water Wallet Floating Splash Resistant Wallet
B00OAYP548,Le'aokuu Men Genuine Leather Brown Waist Fanny Pack Hip Bum Messenger Bag
B00OM76WY0,Chassé Glitter Backpack
B00OPFVU2I,Braun Men's Travel Grooming Bag
B00OQISQ6M,"Wilsons Leather Mens Womens Dakota Zip Closure Leather Duffel"
B00OWDR0R2,"Raines Manual Fold Umbrella 42-inch Canopy Coverage with Carrying Strap"
B00P1G5H2Y,BUCO Handbags Women's MS-06
B00P6GGOY4,"Lewis N Clark Microplush Blanket (2 Pack Burgundy)"
B00PDBXZLW,Mochibrand Drawstring Backpack NEW Urban Trekker Mochi
B00Q4MO7V6,Geben Women's Cross Pu Leather Shell Shaped Shoulder Handbag Top Handle Zipper Handbag
B00QZK1LR0,Hibiscus Flower Fashion Print Duffel Backpack for Beach & Water Sports
B00R16P1F0,Good&god Exclusive Crocodile Grain Pu Leather Weekender Travel Bag - Small Size Brown
B00RF7Z2AY,Disney Star Wars Rebels Backpack and Lunch Tote
B00S7EAXLW,Werks Traveler 5.0 WT 22 Dual-Caster Spinner Carry On Suitcase
B00SP7IXBS,"MyKazoe Gym Sports Travel 20'" Tote Bag with Bonus Ultra Absorbent Sports Towel"
B00T48YXES,Aibag Personalized 3D Lion Studded PU Leather Casual Laptop Backpack School Bag
B00TG8KSTA,Visconti RB 75 Multi Colored Passport Holder Cover Case / Wallet
B00U1GNIIE,ZENTEII Women Genuine Leather Peekaboo Cross Body Shoulder Bag
B00U5V1B8E,Fashion New Colorful Anti-UV Parasol Flower Folding Sun/Rain Windproof Umbrella (Light Purple)
B00UCBGFSI,"15'" GENUINE LEATHER HANDCRAFTED VINTAGE STYLE BRIEFCASE / MESSENGER"
B00VGACM36,Travelpro Jurassic Kid's Hard Side Luggage
B00VNE7HGC,"CHOOCI Colorful Super Light Carry On Luggage Folding Backpack CR0106 Set Of 1"
B00W1SAFBS,ROCKCOW Vintage Look Men's Leather Weekender Duffel Bag Luggage Holdall
B00WJI0RDG,"19'" Black & Blue Heavy Duty Outdoor Sports Fashion Backpack / Student Book Bag"
B00WL6P1NM,Delsey Chatelet 2 Piece Luggage Set | 19 and 24 Spinner Trolleys
B010RZKZT8,TRAVSUN Undercover Money Belt
B012GSY5OU,"Travelon ID and Boarding Pass / Passport Holder with Snap Closure One Size Black Nylon"
B0000732QL,Eastpak Unplugged
B00015GEIQ,AmeriLeather Leather Document Case
B0001N6F00,Western Pack Off Trail Backpack (Hunter Green)
B0001ZTM3U,Royce Leather Automobile Organizer
B000AM1BQA,LaSelva Designs Monet Garden Folding Umbrella
B000AYJN2M,U.S. Luggage Business Cases Polyester Rolling Computer Case (Black/Grey)
B000BV069I,Victorinox CS2-Cross Suspension Horizontal Computer Sleeve (Closeout - Red
B000CS7PEY,Ladies Red Hot Backpack
B000E99YS6,Personalized Leather Toiletry Kit - Free Personalization
B000HUAXRI,Clava Leather Upright Vertical Briefcase
B000LZ121A,Kenneth Cole Reaction Business and Luggage Medium Nylon Camera Case (Black)
B000MNB93M,Travel Accessories Samsonite UK Non-Grounded
B000OTKR7S,Case Logic DVD Album- 200 DVDs
B000PWIZJQ,Rick Steves Veloce Bag
B000SKLK6K,Alice Pack Frame Shoulder Straps
B000UO7ZFO,Travelers Club Luggage 6-Piece EVA Expandable Set
B000VIMO7I,AmeriLeather Leather Pilot Case
B000XT5WY2,WATERSHED Yukon Dry Duffel
B000Y4WO38,Jansport Shoe Bag
B000YV66N0,"Military Style 2 Compartment Travel / Shave Kit Black"
B0013EALBK,Liberty Bags Drawstring Pack w/DUROcord
B0013EE02Q,Liberty Bags Drawstring Pack w/DUROcord
B00144Q230,"Olympia  29'" Pocket  Rolling Duffel Bag"
B0016BOVD4,~Adjustable Strap Heavy Canvas Boho Shoulder Bag~
B0016L3K8Q,Victorinox Werks Traveler 3.0 Porter
B0017U1KBK,Totes Kids Bubble Umbrella
B0018RWUKW,David King & Co. 8 X 9.5 Inch Men's Shoulder Bag
B001947GRQ,Zuca SIBA122 Sport Insert Bag Apple Light Green 89055900122
B001AYXM8C,Diaper Dude Messenger II Diaper Bag for Dads
B001B2NO7M,J World Ergonomic Notebook Computer Backpack &#45; 19&#46;5&#34;
B001BNCMCY,UrbanSport Sportive Multipurpose Student School Backpack/ Outdoor Backpack/ Bookbag
B001CHAPLY,LEATHER PEN CASE
B001CZL40W,"Travelon Dolphin 15'" Wheeled Carry-on"
B001CZL4S4,Travelon Flap Front Messenger-Style Bag
B001DBCTL8,Deuter EH Guide 30 Ski Pack (Sandstone)
B001DL0TD8,Cutter & Buck by ShedRain Travel Umbrella
B001FD5A4M,Dominican Republic Adapter Plug A
B001IPEFDY,Miss Muffet Full Size Ruffled Umbrella
B001KBCTKC,Saddleback Leather Messenger Bag - Leather Vertical Messenger - 100 Year Warranty
B001SEL7FE,Ensign Peak Messenger Bag
B001YYDMTM,Bellino The Journey Leather Brief - Brown
B00289NHIS,Athalon Luggage The Glider-21 Inch Wheeling Carry-On
B0028DK0CU,Belle Hop Luggage Vintage Glam Train Case
B0028K2ATY,"Travelpro Luggage Platinum 6 20'" Expandable Rollaboard"
B002CHFP5O,Clava Upright Vertical Brief
B002NU6ERS,Totes Signature Micro Manual Compact Umbrella
